period,i_luu_chuyen_tien_tu_hoat_dong_kinh_doanh,profit_before_tax,2_dieu_chinh_cho_cac_khoan,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,lai_lo_tu_hoat_dong_dau_tu_tai_chinh,chi_phi_di_vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,tang_giam_cac_khoan_phai_tra_khong_ke_lai_vay_phai_tra_thue_thu_nhap_doanh_nghiep_phai_nop,tang_giam_chi_phi_cho_phan_bo,chi_phi_di_vay_da_tra,corporate_income_tax_paid,other_receipts_from_operating_activities,other_payments_for_operating_activities,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh,ii_luu_chuyen_tien_tu_hoat_dong_dau_tu,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,purchases_of_minority_shares_of_subsidiaries,other_receipts_from_investing_activities,other_payments_for_investing_activities,luu_chuyen_tien_thuan_tu_hoat_dong_dau_tu,iii_luu_chuyen_tien_tu_hoat_dong_tai_chinh,receipts_from_equity_issue_and_owners_capital_contribution,proceeds_from_borrowings,principal_repayments,repayment_of_financial_leases,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2026-Q1,,2803844281676,,409926454508,67698461987,64372325595,-1039456492471,179461207664,,,,2485846238959,-884569389703,-328180087981,-2597208629257,-364231426766,-156930706535,-979468791211,,-23070924698,-2847813717192,,-589068929719,2080740035,-8105033405809,6907782688785,-24005144045,3366000000,263408177152,,,,-713425316747,-2254895190348,,2000000,6750787827303,-4164356153983,-239550104,-2529850,,,2586191593366,-2516517314174,10522105729992,-12010804176,7993577611642,,,,,,,
2025-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,,3024693510849,,644023121646,85128981266,-71839057689,-490145755006,152389538333,,,,3344250339399,-595412339418,-248648680346,-3168677797967,-205624354170,-161803237457,-1286964186262,,-184023466180,-2506903722401,,-2607427905351,3212123070,-10159337998571,8175498984215,-94356673179,5739731680,279282736376,,,,,-4397389001760,,,12175546656648,-7902260870560,-230583912,-9557000,,,4273045645176,-2631247078985,9315440438884,71451854353,6755645214252,,,,,,,
2024-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,,2533582054552,,617374340526,81105147752,-22556832506,,,,,,3009785032818,-167453550762,-271641024449,,,,-633330715962,,-369965368266,-657601355178,,-647322276985,10295249160,-8977359495900,6851263040484,-733152087882,,284299976870,,,,,-3211975594253,,,10487172776046,-7982467720579,-345563252,-535074322385,,,1969285169830,-1900291779601,8279156683221,-37407398624,6341457504996,-337553397592,137833720086,,-1997629152574,-67254616445,-160111959538,
2023-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
