ticker,doc_url,doc_title,doc_name
FPT,https://static2.vietstock.vn/data/HOSE/2026/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2026_Congtyme.pdf,BCTC Công ty mẹ quý 1 năm 2026 ,Báo cáo tài chính Công ty mẹ quý 1 năm 2026 
FPT,https://static2.vietstock.vn/data/HOSE/2026/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2026_Hopnhat.pdf,BCTC Hợp nhất quý 1 năm 2026 ,Báo cáo tài chính Hợp nhất quý 1 năm 2026 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/NAM/FPT_Baocaotaichinh_2025_Kiemtoan_Hopnhat.pdf,BCTC Hợp nhất Kiểm toán năm 2025 ,Báo cáo tài chính Hợp nhất Kiểm toán năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/NAM/FPT_Baocaotaichinh_2025_Kiemtoan_Congtyme.pdf,BCTC Công ty mẹ Kiểm toán năm 2025 ,Báo cáo tài chính Công ty mẹ Kiểm toán năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2025_Congtyme.pdf,BCTC Công ty mẹ quý 4 năm 2025 ,Báo cáo tài chính Công ty mẹ quý 4 năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2025_Hopnhat.pdf,BCTC Hợp nhất quý 4 năm 2025 ,Báo cáo tài chính Hợp nhất quý 4 năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2025_Congtyme.pdf,BCTC Công ty mẹ quý 3 năm 2025 ,Báo cáo tài chính Công ty mẹ quý 3 năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2025_Hopnhat.pdf,BCTC Hợp nhất quý 3 năm 2025 ,Báo cáo tài chính Hợp nhất quý 3 năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2025_Soatxet_Hopnhat.pdf,BCTC Hợp nhất Soát xét 6 tháng đầu năm 2025 ,Báo cáo tài chính Hợp nhất Soát xét 6 tháng đầu năm 2025 
FPT,https://static2.vietstock.vn/data/HOSE/2025/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2025_Soatxet_Congtyme.pdf,BCTC Công ty mẹ Soát xét 6 tháng đầu năm 2025 ,Báo cáo tài chính Công ty mẹ Soát xét 6 tháng đầu năm 2025 
