10_chi_phi_quan_ly_doanh_nghiep,11_loi_nhuan_thuan_tu_hoat_dong_kinh_doanh,12_thu_nhap_khac,13_chi_phi_khac,14_loi_nhuan_khac,15_tong_loi_nhuan_ke_toan_truoc_thue,16_chi_phi_thue_tndn_hien_hanh,17_chi_phi_thue_tndn_hoan_lai,18_loi_nhuan_sau_thue_thu_nhap_doanh_nghiep,19_lai_co_ban_tren_co_phieu_vn,1_doanh_thu_ban_hang_va_cung_cap_dich_vu,20_lai_suy_giam_tren_co_phieu,2_cac_khoan_giam_tru_doanh_thu,3_doanh_thu_thuan_ve_ban_hang_va_cung_cap_dich_vu,4_gia_von_hang_ban,5_loi_nhuan_gop_ve_ban_hang_va_cung_cap_dich_vu,6_doanh_thu_hoat_dong_tai_chinh,7_chi_phi_tai_chinh,7_doanh_thu_hoat_dong_tai_chinh,8_chi_phi_tai_chinh,8_phan_lai_lo_trong_cong_ty_lien_doanh_lien_ket,9_chi_phi_ban_hang,chi_phi_di_vay,loi_nhuan_sau_thue_cua_co_dong_cua_cong_ty_me,minority_interest,period,phan_loi_nhuan_lo_tu_cong_ty_lien_ket_lien_doanh,trong_do_chi_phi_lai_vay
1210282662926,2747763827050,61674012142,5593557516,56080454626,2803844281676,454678597413,-127624149218,2476789833481,1460.0,12485836704352,1460.0,5839497577.0,12479997206775,8235107316087,4244889890688,,,415863869179.0,367211384721.0,666841270147.0,1002337155317,179461207664.0,2487371587099,-10581753618,2026-Q1,,
1892395897574,3477285510758,40088826860,18969733713,21119093147,3498404603905,487956258402,22299782949,2988148562554,1168.0,20258866135395,1168.0,33415777986.0,20225450357409,13171300027162,7054150330247,,,553701777401.0,476741111428.0,283746137174.0,2045175725062,207025852637.0,2502704371686,485444190868,2025-Q4,,
1647276732839,3346375732746,34839399621,6476534277,28362865344,3374738598090,589553627034,-116360781594,2901545752650,1036.0,17225507121683,1036.0,20985896381.0,17204521225302,10685654746292,6518866479010,,,613110473502.0,352575079871.0,130833425587.0,1916582832643,233582914481.0,2434841434732,466704317918,2025-Q3,,
1913706634404,3129379259205,28751046396,17127043966,11624002430,3141003261635,463961750401,-63200566619,2740242077853,1529.0,16658335760739,1529.0,33622720672.0,16624713040067,10603672997092,6021040042975,,,1236993026877.0,531366215070.0,106714935715.0,1790295896888,216761295705.0,2257433265298,482808812555,2025-Q2,,
1877437056836,2993843378813,39212521539,8362389503,30850132036,3024693510849,377287599563,51848430977,2595557480309,1478.0,16064980391264,1478.0,6839448804.0,16058140942460,9756793038194,6301347904266,,,573331893191.0,311343769364.0,136730336838.0,1828785929282,152389538333.0,2174301386525,421256093784,2025-Q1,,
1735410040472,2922046994779,40936158299,3315661986,37620496313,2959667491092,536403680028,-70238663874,2493502474938,994.0,17651065378940,994.0,43247573048.0,17607817805892,11128844453966,6478973351926,576398372443.0,831375395433.0,,,117814322579.0,1684353616264,,2086993221115,406509253823,2024-Q4,,134854268998.0
1807957864952,2948226004570,34674999189,74280370385,-39605371196,2908620633374,441224951554,-11201940680,2478597622500,1430.0,15972397069700,1430.0,69575353943.0,15902821715757,9743866051351,6158955664406,326689006856.0,308178806879.0,,,142580948775.0,1563862943636,,2088852212408,389745410092,2024-Q3,,128825950601.0
1717330241425,2635780817748,27511312610,-1004275617,28515588227,2664296405975,561248620389,-179993203349,2283040988935,1098.0,15245892288520,1098.0,665872500.0,15245226416020,9593869093122,5651357322898,569292544523.0,337927906368.0,,,58601427292.0,1588212329172,,1873814750772,409226238163,2024-Q2,,150125422101.0
1823471776014,2515527123032,44782907585,26727976065,18054931520,2533582054552,389755423988,-16438659078,2160265289642,1416.0,14093297397476,1416.0,368983777.0,14092928413699,8582462733612,5510465680087,457092979986.0,334065273301.0,,,74454138017.0,1368948625743,,1798030863528,362234426114,2024-Q1,,137833720086.0
1979944371544,2386698290464,64518573767,16124064640,48394509127,2435092799591,424981344481,-41129315871,2051240770981,925.0,14695806584757,925.0,5393881434.0,14690412703323,9058549143162,5631863560161,520345470835.0,527556384763.0,,,58146301170.0,1316156285395,,1728399961335,322840809646,2023-Q4,,206644073232.0
1773504449852,2438361031885,46849960698,56060532724,-9210572026,2429150459859,344595196181,8685907653,2075869356025,1373.0,13761831884948,1373.0,86909091.0,13761744975857,8265376008841,5496368967016,516203046415.0,406428287129.0,,,39896110382.0,1434174354947,,1739340360244,336528995781,2023-Q3,,265654864395.0
1475558757945,2189766371273,46978996702,18612734628,28366262074,2218132633347,337905337939,24645039772,1855582255636,1373.0,12484515133084,1373.0,150868182.0,12484364264902,7850539957865,4633824307037,623044115643.0,287498451679.0,,,-65748307687.0,1238296534096,,1509219531243,346362724393,2023-Q2,,212364005360.0
1592492464630,2096933282136,42879374489,19169009527,23710364962,2120643647098,308330144701,2514048503,1809799453894,1361.0,11683021258544,1361.0,1642375241.0,11681378883303,7113499882609,4567879000694,676476546426.0,496815340139.0,,,43757073944.0,1101871534159,,1493562580890,316236873004,2023-Q1,,147985668274.0
1761816901184,1978262144383,67004874960,56238388429,10766486531,1989028630914,335964806453,33171856353,1619891968108,1235.0,13053462794764,1235.0,11036523655.0,13042426271109,7801152486947,5241273784162,526329659816.0,644381295008.0,,,98197938512.0,1481341041915,,1351601105816,268290862292,2022-Q4,,156583283497.0
1461418832201,1993657541909,46394199264,12026921249,34367278015,2028024819924,306452921896,-34425563561,1755997461589,1329.0,11148779552748,1329.0,220532395.0,11148559020353,6789073328096,4359485692257,549704414876.0,413926492214.0,,,91215132079.0,1131402372888,,1453716280969,302281180620,2022-Q3,,166542329315.0
1418038122633,1836170115803,39323957365,17649446736,21674510629,1857844626432,284120033909,12150301089,1561574291434,1145.0,10096707659064,1145.0,647568105.0,10096060090959,6080957072181,4015103018778,506153596903.0,336841342149.0,,,86152785186.0,1016359820282,,1250820478811,310753812623,2022-Q2,,176780202334.0
