period,a_tai_san,i_tien_mat_vang_bac_da_quy,ii_tien_gui_tai_nhnn,iii_tien_vang_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,1_tien_vang_gui_tai_cac_tctd_khac,2_cho_vay_cac_tctd_khac,3_du_phong_rui_ro_cho_vay_cac_tctd_khac,iv_chung_khoan_kinh_doanh,1_chung_khoan_kinh_doanh,2_du_phong_giam_gia_chung_khoan_kinh_doanh,v_cac_cong_cu_tai_chinh_phai_sinh_va_cac_tai_san_tai_chinh_khac,vi_cho_vay_khach_hang,1_cho_vay_va_cho_thue_tai_chinh_khach_hang,2_du_phong_rui_ro_cho_vay_va_cho_thue_tai_chinh_khach_hang,vii_hoat_dong_mua_no,1_mua_no,2_du_phong_rui_ro_hoat_dong_mua_no,viii_chung_khoan_dau_tu,1_chung_khoan_dau_tu_san_sang_de_ban,2_chung_khoan_dau_tu_giu_den_ngay_dao_han,3_du_phong_giam_gia_chung_khoan_dau_tu,ix_gop_von_dau_tu_dai_han,1_dau_tu_vao_cong_ty_con,2_dau_tu_vao_cong_ty_lien_doanh_lien_ket,3_dau_tu_dai_han_khac,4_du_phong_giam_gia_dau_tu_dai_han,x_tai_san_co_dinh,1_tai_san_co_dinh_huu_hinh,nguyen_gia_tscd,hao_mon_tscd,2_tai_san_co_dinh_thue_tai_chinh,3_tai_san_co_dinh_vo_hinh,a_nguyen_gia_bdsdt,b_hao_mon_bdsdt,xii_tai_san_co_khac,1_cac_khoan_phai_thu,2_cac_khoan_lai_phi_phai_thu,3_tai_san_thue_tndn_hoan_lai,4_tai_san_co_khac,trong_do_loi_the_thuong_mai,5_cac_khoan_du_phong_rui_ro_cho_cac_tai_san_co_noi_bang_khac,total_assets,b_no_phai_tra_va_von_chu_so_huu,i_cac_khoan_no_chinh_phu_va_nhnn,ii_tien_gui_va_vay_cac_tctd_khac,1_tien_gui_cua_cac_tctd_khac,2_vay_cac_tctd_khac,iii_tien_gui_cua_khach_hang,iv_cac_cong_cu_tai_chinh_phai_sinh_va_cac_khoan_no_tai_chinh_khac,v_von_tai_tro_uy_thac_dau_tu_cho_vay_ma_tctd_chiu_rui_ro,vi_phat_hanh_giay_to_co_gia,vii_cac_khoan_no_khac,1_cac_khoan_lai_phi_phai_tra,2_thue_tndn_hoan_lai_phai_tra,3_cac_khoan_phai_tra_va_cong_no_khac,4_du_phong_rui_ro_khac_du_phong_cho_cong_no_tiem_an_va_cam_ket_ngoai_bang,liabilities,viii_von_va_cac_quy,1_von_cua_tctd,a_von_dieu_le,b_von_dau_tu_xdcb,c_thang_du_von_co_phan,d_co_phieu_quy,e_co_phieu_uu_dai,g_von_khac,2_quy_cua_tctd,3_chenh_lech_ty_gia_hoi_doai,4_chenh_lech_danh_gia_lai_tai_san,5_loi_nhuan_chua_phan_phoi_lo_luy_ke,6_loi_ich_co_dong_khong_kiem_soat,ix_loi_ich_cua_co_dong_thieu_so,total_liabilities_equity,vii_chung_khoan_dau_tu,viii_gop_von_dau_tu_dai_han,ix_tai_san_co_dinh,x_bat_dong_san_dau_tu,xi_tai_san_co_khac
2026-Q1,,4870562000000,27816249000000,203790573000000,188794908000000,14995665000000,,2035304000000,2035304000000,,111102000000,593322802000000,601140427000000,-7817625000000,18880643000000,19023318000000,-142675000000,88955221000000,84729951000000,4337181000000,-111911000000,1243258000000,,1125764000000,125667000000,-8173000000,1856769000000,992531000000,1395969000000,-531731000000,,864238000000,,,41333727000000,18957542000000,8448340000000,99533000000,13883229000000,,-54917000000,984216210000000,,8253000000,152777088000000,112188284000000,40588804000000,621548943000000,,2644604000000,103937859000000,20113455000000,9961321000000,,10152134000000,,901030202000000,83186008000000,51327726000000,50052763000000,89000000,1274874000000,,,,10041541000000,8163000000,,18957688000000,2850890000000,,984216210000000,,,,,
2025-Q4,,4126643000000,59907114000000,184262209000000,156340825000000,27921384000000,,490537000000,490537000000,,,539068773000000,546370779000000,-7302006000000,23746425000000,23925869000000,-179444000000,76811704000000,72904811000000,4039836000000,-132943000000,1149501000000,,1031691000000,125667000000,-7857000000,1860436000000,973157000000,1392388000000,-505109000000,,887279000000,,,39677939000000,22318435000000,6221116000000,72726000000,11119877000000,,-54215000000,931101281000000,,11425972000000,169207295000000,129408777000000,39798518000000,560714282000000,427000000,2721952000000,87434265000000,21332484000000,9306729000000,,12025755000000,,852836677000000,78264604000000,51327726000000,50052763000000,89000000,1274874000000,,,,7075159000000,,,17146327000000,2715392000000,,931101281000000,,,,,
2025-Q3,,3679667000000,24751052000000,153845277000000,140226645000000,13618632000000,,549696000000,549696000000,,148153000000,482446820000000,488594897000000,-6148077000000,820907000000,852501000000,-31594000000,63385953000000,59301804000000,4228551000000,-144402000000,994299000000,,876175000000,125666000000,-7542000000,1756018000000,883151000000,1352025000000,-479158000000,,872867000000,,,49559526000000,37644088000000,6919127000000,60417000000,4989036000000,,-53142000000,781937368000000,,9992000000,130268141000000,104143915000000,26124226000000,487862978000000,,2734577000000,74613874000000,18040753000000,10050623000000,,7990130000000,,713530315000000,68407053000000,35224020000000,35101423000000,89000000,535956000000,-413448000000,,,8781740000000,6836000000,,21792003000000,2602454000000,,781937368000000,,,,,
2025-Q2,,3944656000000,9728909000000,132104675000000,124358309000000,7746366000000,,2411264000000,2411264000000,,40229000000,502451955000000,508548842000000,-6096887000000,,,,71362330000000,67243887000000,4231266000000,-112823000000,939185000000,,821061000000,125666000000,-7542000000,1756858000000,889163000000,1323598000000,-455903000000,,867695000000,,,59356226000000,50120428000000,6970426000000,83309000000,2229162000000,,-47099000000,784096287000000,,9952000000,99269338000000,75267930000000,24001408000000,478700229000000,,2787202000000,83686176000000,55017027000000,11475643000000,,43541384000000,,719469924000000,64626363000000,35224020000000,35101423000000,89000000,535956000000,-413448000000,,,8833680000000,-26977000000,,18145365000000,2450275000000,,784096287000000,,,,,
2025-Q1,,3597997000000,18197837000000,126666260000000,117832526000000,8833734000000,,14526258000000,14526258000000,,,440468264000000,446106052000000,-5637788000000,,,,49726466000000,45597975000000,4233951000000,-105460000000,869471000000,,753307000000,134666000000,-18502000000,1748509000000,865919000000,1316125000000,-433535000000,,882590000000,,,55509696000000,46900361000000,6320278000000,104691000000,2231292000000,,-46926000000,711310758000000,,27856000000,73678438000000,54797830000000,18880608000000,465321208000000,279539000000,2729948000000,88350608000000,19890624000000,10170072000000,,9720552000000,,650278221000000,61032537000000,35224020000000,35101423000000,89000000,535956000000,-413448000000,,,6321741000000,30876000000,,17166824000000,2289076000000,,711310758000000,,,,,
2024-Q4,,3105355000000,26680270000000,101600254000000,94225901000000,7374353000000,,21955775000000,21955775000000,,,436606237000000,442484841000000,-5878604000000,,,,48751284000000,31407524000000,17436610000000,-92850000000,857544000000,,726080000000,146546000000,-15082000000,1765927000000,887455000000,1291428000000,-412956000000,,878472000000,,,55958160000000,48393565000000,5304263000000,72470000000,2234788000000,,-46926000000,697280806000000,,15434000000,99460579000000,74877046000000,24583533000000,437505165000000,18449000000,2788443000000,81349745000000,19485490000000,8013166000000,,11472324000000,,640623305000000,56657501000000,35224020000000,35101423000000,89000000,535956000000,-413448000000,,,6313202000000,,,12954121000000,2166158000000,,697280806000000,,,,,
2024-Q3,,3127639000000,29410506000000,98656083000000,93378870000000,5277213000000,,15274541000000,15274541000000,,,393739706000000,398724457000000,-4984751000000,,,,34611149000000,28086753000000,6668285000000,-143889000000,811249000000,,679662000000,149546000000,-17959000000,1669306000000,811751000000,1259274000000,-401719000000,,857555000000,,,52268933000000,43608103000000,6496509000000,77851000000,2133049000000,,-46579000000,629569112000000,,17920000000,92302927000000,61373222000000,30929705000000,397018666000000,113837000000,2698648000000,67367167000000,16465972000000,7459227000000,,9006745000000,,575985137000000,53583975000000,29198918000000,29076321000000,89000000,535956000000,-413448000000,,,6257868000000,98756000000,,15734849000000,2293584000000,,629569112000000,,,,,
2024-Q2,,3102598000000,22236514000000,83923363000000,76457206000000,7466157000000,,8606526000000,8606526000000,,381092000000,381419719000000,386186737000000,-4767018000000,,,,60762059000000,38311638000000,22570977000000,-120556000000,789226000000,,657639000000,149546000000,-17959000000,1542886000000,785388000000,1143428000000,-385930000000,,757498000000,,,61679516000000,52319155000000,7223915000000,64755000000,2118270000000,,-46579000000,624443499000000,,20978000000,118687414000000,72466681000000,46220733000000,386573343000000,,2856478000000,44592656000000,18886920000000,7661383000000,,11225537000000,,571617789000000,52825710000000,29198918000000,29076321000000,89000000,535956000000,-413448000000,,,6259588000000,-28143000000,,15223523000000,2171824000000,,624443499000000,,,,,
2024-Q1,,2891213000000,22525499000000,87659830000000,79329732000000,8330098000000,,12929307000000,12929307000000,,124577000000,358835149000000,363449382000000,-4614233000000,,,,55248147000000,33368663000000,21991503000000,-112019000000,143781000000,,,163921000000,-20140000000,1493213000000,729332000000,1139947000000,-376066000000,,763881000000,,,60700854000000,51746520000000,6801229000000,70441000000,2129185000000,,-46521000000,602551570000000,,20159000000,107009010000000,55849303000000,51159707000000,378789084000000,,2796221000000,46301878000000,17934968000000,9640744000000,,8294224000000,,552851320000000,49700250000000,29198918000000,29076321000000,89000000,535956000000,-413448000000,,,4707618000000,87381000000,,13671470000000,2034863000000,,602551570000000,,,,,
2023-Q4,,2810044000000,41481638000000,96514863000000,88120085000000,8394778000000,,18580932000000,18580932000000,,110079000000,339349838000000,343404295000000,-4054457000000,,,,,31871688000000,12304873000000,-84272000000,,,,163921000000,-20140000000,,713141000000,1076187000000,-366569000000,,709618000000,,,,49527933000000,6017101000000,76708000000,2233415000000,,-46521000000,602314859000000,,26590000000,112086978000000,62597686000000,49489292000000,370777888000000,,2811129000000,50938148000000,19273804000000,10346499000000,,8927305000000,,555914537000000,46400322000000,29198918000000,29076321000000,89000000,535956000000,-413448000000,,,4708243000000,,,10561698000000,1931463000000,,602314859000000,44092289000000,143781000000,1422759000000,,57808636000000
