period,trailing_eps,book_value_per_share,pe,pb,dividend_yield,beta
2026-Q1,4393,16620,5.79,1.53,0,1.09
2025-Q4,4644,20279,6.39,1.46,0,1.2
2025-Q3,4304,19572,7.2,1.58,0,1.12
2025-Q2,4439,18411,4.91,1.18,0.05,0.97
2025-Q1,4520,17463,4.89,1.27,0.05,1.02
2024-Q4,4352,16211,5.86,1.57,0.04,0.93
2024-Q3,4478,18398,6.3,1.53,0.04,0.88
2024-Q2,4202,18137,5.47,1.27,0,0.86
2024-Q1,4005,17182,6.02,1.4,0.04,0.91
2023-Q4,3757,16041,5.4,1.27,0.05,0.91
2023-Q3,3322,14875,5.22,1.17,0.06,0.9
2023-Q2,3400,16092,5.47,1.16,0.05,0.9
2023-Q1,3555,16232,5.41,1.19,0,0.94
2022-Q4,3675,15503,4.34,1.03,0,1.07
2022-Q3,3748,18469,5.11,1.04,0,1.15
2022-Q2,3591,17576,6.68,1.37,0,1.21
2022-Q1,3506,16306,8.09,1.74,0,1.29
2021-Q4,3497,15455,8.82,2,0,1.26
2021-Q3,3592,14692,7.07,1.73,0,1.3
2021-Q2,3854,17399,9.21,2.04,0,1.29
2021-Q1,4066,16572,6.49,1.59,0,1.28
2020-Q4,3988,15500,5.96,1.53,0,1.12
2020-Q3,4447,24728,7.04,1.27,0,1.06
2020-Q2,4231,23495,5.86,1.06,0,1.04
2020-Q1,3781,22218,4.71,0.8,0,1.12
2019-Q4,3675,20776,7.5,1.33,0,0.79
2019-Q3,3327,19973,8.33,1.39,0,0.83
2019-Q2,2989,18964,9.2,1.45,0,0.86
2019-Q1,2940,18056,10.21,1.66,0.04,0.9
2018-Q4,2897,17154,10.46,1.77,0.04,0.95
2018-Q3,2458,16264,15.81,2.39,0.03,1.01
2018-Q2,2674,16897,13.52,2.14,0.04,0
2018-Q1,2280,16085,20.13,2.85,0,0
2017-Q4,1780,15045,0,0,0,0
2017-Q3,2161,13934,0,0,0,0
2017-Q2,1281,13147,0,0,0,0
2017-Q1,1161,12651,0,0,0,0
2016-Q4,1072,12275,0,0,0,0
2016-Q3,636,11920,0,0,0,0
2016-Q2,585,11955,0,0,0,0
2016-Q1,422,12467,0,0,0,0
2015-Q3,0,0,0,0,0,0
2015-Q2,0,0,0,0,0,0
2015-Q1,0,0,0,0,0,0
2014-Q1,131,10650,0,0,0,0
2013-Q3,279,10473,0,0,0,0
2013-Q2,266,10405,0,0,0,0
2013-Q1,113,10894,0,0,0,0
