period,a_tai_san,i_tien_mat_vang_bac_da_quy,ii_tien_gui_tai_nhnn,iii_tien_vang_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,1_tien_vang_gui_tai_cac_tctd_khac,2_cho_vay_cac_tctd_khac,3_du_phong_rui_ro_cho_vay_cac_tctd_khac,iv_chung_khoan_kinh_doanh,1_chung_khoan_kinh_doanh,2_du_phong_giam_gia_chung_khoan_kinh_doanh,v_cac_cong_cu_tai_chinh_phai_sinh_va_cac_tai_san_tai_chinh_khac,vi_cho_vay_khach_hang,1_cho_vay_va_cho_thue_tai_chinh_khach_hang,2_du_phong_rui_ro_cho_vay_va_cho_thue_tai_chinh_khach_hang,vii_hoat_dong_mua_no,1_mua_no,2_du_phong_rui_ro_hoat_dong_mua_no,viii_chung_khoan_dau_tu,1_chung_khoan_dau_tu_san_sang_de_ban,2_chung_khoan_dau_tu_giu_den_ngay_dao_han,3_du_phong_giam_gia_chung_khoan_dau_tu,ix_gop_von_dau_tu_dai_han,1_dau_tu_vao_cong_ty_con,2_dau_tu_vao_cong_ty_lien_doanh_lien_ket,3_dau_tu_dai_han_khac,4_du_phong_giam_gia_dau_tu_dai_han,x_tai_san_co_dinh,1_tai_san_co_dinh_huu_hinh,nguyen_gia_tscd,hao_mon_tscd,2_tai_san_co_dinh_thue_tai_chinh,3_tai_san_co_dinh_vo_hinh,a_nguyen_gia_bdsdt,b_hao_mon_bdsdt,xii_tai_san_co_khac,1_cac_khoan_phai_thu,2_cac_khoan_lai_phi_phai_thu,3_tai_san_thue_tndn_hoan_lai,4_tai_san_co_khac,trong_do_loi_the_thuong_mai,5_cac_khoan_du_phong_rui_ro_cho_cac_tai_san_co_noi_bang_khac,total_assets,b_no_phai_tra_va_von_chu_so_huu,i_cac_khoan_no_chinh_phu_va_nhnn,ii_tien_gui_va_vay_cac_tctd_khac,1_tien_gui_cua_cac_tctd_khac,2_vay_cac_tctd_khac,iii_tien_gui_cua_khach_hang,iv_cac_cong_cu_tai_chinh_phai_sinh_va_cac_khoan_no_tai_chinh_khac,v_von_tai_tro_uy_thac_dau_tu_cho_vay_ma_tctd_chiu_rui_ro,vi_phat_hanh_giay_to_co_gia,vii_cac_khoan_no_khac,1_cac_khoan_lai_phi_phai_tra,2_thue_tndn_hoan_lai_phai_tra,3_cac_khoan_phai_tra_va_cong_no_khac,4_du_phong_rui_ro_khac_du_phong_cho_cong_no_tiem_an_va_cam_ket_ngoai_bang,liabilities,viii_von_va_cac_quy,1_von_cua_tctd,a_von_dieu_le,b_von_dau_tu_xdcb,c_thang_du_von_co_phan,d_co_phieu_quy,e_co_phieu_uu_dai,g_von_khac,2_quy_cua_tctd,3_chenh_lech_ty_gia_hoi_doai,4_chenh_lech_danh_gia_lai_tai_san,5_loi_nhuan_chua_phan_phoi_lo_luy_ke,6_loi_ich_co_dong_khong_kiem_soat,ix_loi_ich_cua_co_dong_thieu_so,total_liabilities_equity,vii_chung_khoan_dau_tu,viii_gop_von_dau_tu_dai_han,ix_tai_san_co_dinh,x_bat_dong_san_dau_tu,xi_tai_san_co_khac
2026-Q1,,5467700000000,93007358000000,87777341000000,82639508000000,5318983000000,-181150000000,462211000000,462958000000,-747000000,,785612530000000,796863951000000,-11251421000000,28170000000,30065000000,-1895000000,141063971000000,141480522000000,,-416551000000,3244347000000,,29988000000,3215508000000,-1149000000,11585812000000,6118592000000,9535734000000,-4068514000000,,5467220000000,,,62204314000000,49705962000000,10338272000000,41184000000,2126868000000,,-7972000000,1190453754000000,,4673129000000,150267181000000,86820944000000,63446237000000,599808238000000,2216311000000,,217897008000000,28909114000000,11296027000000,,17613087000000,,1003770981000000,186682773000000,78808792000000,70862404000000,,-124000000,,,7946512000000,28651733000000,,,69435141000000,9787107000000,,1190453754000000,,,,,
2025-Q4,,4360821000000,82162772000000,114958312000000,108143393000000,6996069000000,-181150000000,4815777000000,4816831000000,-1054000000,,757118751000000,767617129000000,-10498378000000,30647000000,32561000000,-1914000000,145526404000000,145942288000000,,-415884000000,3246622000000,,32263000000,3215508000000,-1149000000,12122934000000,6343732000000,9535997000000,-3756795000000,,5779202000000,,,68001097000000,56111402000000,9787070000000,40487000000,2070439000000,,-8301000000,1192344137000000,,4323867000000,144982976000000,83014313000000,61968663000000,618911535000000,2416947000000,,215330128000000,26877242000000,9448719000000,,17428523000000,,1012842695000000,179501442000000,78626366000000,70862404000000,,-124000000,,,7764086000000,28644562000000,,,62773576000000,9456938000000,,1192344137000000,,,,,
2025-Q3,,4045689000000,77586460000000,92999089000000,78704346000000,14475893000000,-181150000000,3107148000000,3107429000000,-281000000,,756078003000000,766709929000000,-10631926000000,41016000000,43008000000,-1992000000,139296462000000,139654417000000,,-357955000000,3090646000000,,32840000000,3058955000000,-1149000000,12043529000000,6099861000000,9378229000000,-3434561000000,,5943668000000,,,41282416000000,28788017000000,10532599000000,77775000000,1899114000000,20735000000,-15089000000,1129570458000000,,41254000000,146643879000000,93471217000000,53172662000000,595086941000000,1712153000000,,181742521000000,24913117000000,8187281000000,,16725836000000,,950139865000000,179430593000000,78412544000000,70648517000000,,-59000000,,,7764086000000,24786549000000,,,60833974000000,15397526000000,,1129570458000000,,,,,
2025-Q2,,3666435000000,48485657000000,80845693000000,71979339000000,9047504000000,-181150000000,4138394000000,4139215000000,-821000000,,700801926000000,710313010000000,-9511084000000,43493000000,45504000000,-2011000000,146985597000000,142072840000000,5400000000000,-487243000000,3057806000000,,,3058955000000,-1149000000,12192892000000,6274097000000,9038035000000,-3119240000000,,5918795000000,,,37427502000000,26160199000000,9361828000000,77679000000,1837023000000,20735000000,-9227000000,1037645395000000,,46920000000,137064303000000,91640536000000,45423767000000,545078843000000,1092859000000,,172337642000000,20197599000000,7464091000000,,12733508000000,,875818166000000,161827229000000,78412544000000,70648517000000,,-59000000,,,7764086000000,24786836000000,,,54414630000000,4213219000000,,1037645395000000,,,,,
2025-Q1,,3789947000000,62698992000000,81883430000000,72397423000000,9667157000000,-181150000000,2280383000000,2280761000000,-378000000,,655007208000000,663692866000000,-8685658000000,53863000000,55952000000,-2089000000,124378656000000,117928269000000,6900000000000,-449613000000,3102523000000,,,3103672000000,-1149000000,12119671000000,6429947000000,8523990000000,-2834266000000,,5689724000000,,,43901320000000,32615594000000,9250483000000,78875000000,1991512000000,,-35144000000,989215993000000,,118379000000,135313705000000,81331394000000,53982311000000,531583052000000,688536000000,,147933070000000,19626586000000,7926111000000,,11700475000000,,835263328000000,153952665000000,78412544000000,70648517000000,,-59000000,,,7764086000000,24786838000000,,,48167266000000,2586017000000,,989215993000000,,,,,
2024-Q4,,3384770000000,54353153000000,84590474000000,74887085000000,9884539000000,-181150000000,9000644000000,9000895000000,-251000000,,623634271000000,631724964000000,-8090693000000,141628000000,144380000000,-2752000000,148623636000000,142202792000000,6900000000000,-479156000000,3102523000000,,,3103672000000,-1149000000,12466885000000,6576699000000,8485022000000,-2594836000000,,5890186000000,,,39500565000000,29540943000000,8125964000000,79856000000,1818676000000,,-64874000000,978798549000000,,11531000000,132239088000000,72210834000000,60028254000000,533392350000000,931231000000,,140422321000000,23862407000000,7281567000000,,16580840000000,,830858928000000,147939621000000,78412544000000,70648517000000,,-59000000,,,7764086000000,24784649000000,,42221962000000,42221962000000,2520466000000,,978798549000000,,,,,
2024-Q3,,3608503000000,40614749000000,90014293000000,80586687000000,9607946000000,-180340000000,4524314000000,4524314000000,,269237000000,617924570000000,626290777000000,-8366207000000,314766000000,318827000000,-4061000000,102135236000000,97062825000000,5400000000000,-327589000000,3047523000000,,,3048672000000,-1149000000,12752316000000,6974513000000,8160074000000,-2382271000000,,5777803000000,,,51847838000000,36294684000000,13921648000000,73401000000,1715829000000,,-157724000000,927053345000000,,20542000000,138462274000000,70584329000000,67877945000000,494954017000000,,,126061309000000,23187221000000,7309545000000,,15877676000000,,782685363000000,144367982000000,71006213000000,70450216000000,,,,,555997000000,20845050000000,10494000000,,51068780000000,1437445000000,,927053345000000,,,,,
2024-Q2,,3638265000000,28055094000000,88903726000000,77099429000000,11909794000000,-105497000000,4142658000000,4142658000000,,170357000000,584713478000000,592083271000000,-7369793000000,320241000000,324343000000,-4102000000,113677245000000,114076318000000,,-399073000000,3047523000000,,,3048672000000,-1149000000,9626880000000,3669412000000,8147969000000,-2190501000000,,5957468000000,,,72011233000000,57105306000000,13395035000000,72118000000,1763895000000,,-325121000000,908306700000000,,410381000000,154612416000000,60471427000000,94140989000000,481860239000000,,,111985283000000,20886724000000,7013050000000,,13873674000000,,769755043000000,138551657000000,71006213000000,70450216000000,,,,,555997000000,20845440000000,-13199000000,,45331275000000,1381928000000,,908306700000000,,,,,
2024-Q1,,3665067000000,13587719000000,89074540000000,72791538000000,16384102000000,-101100000000,8967611000000,8967611000000,,729249000000,552577121000000,559276885000000,-6699764000000,82033000000,84335000000,-2302000000,131188842000000,131568267000000,,-379425000000,3046245000000,,,3047394000000,-1149000000,9258648000000,3593852000000,7695815000000,-2031019000000,,5664796000000,,,73476386000000,60267488000000,11654956000000,69822000000,1852926000000,,-368806000000,885653461000000,,938925000000,172892747000000,76496756000000,96395991000000,458040690000000,,,93776798000000,22131575000000,8125980000000,,14005595000000,,747780735000000,137872726000000,36257461000000,35225108000000,,476356000000,,,555997000000,45028418000000,-20133000000,,55234141000000,1372839000000,,885653461000000,,,,,
2023-Q4,,3620695000000,27140592000000,104072320000000,80126897000000,24046523000000,-101100000000,4432778000000,4432778000000,,143611000000,512513672000000,518641568000000,-6127896000000,82033000000,84335000000,-2302000000,,105356248000000,,-362303000000,,,,3047394000000,-1149000000,,3527586000000,7198784000000,-1833673000000,,5365111000000,,,,69834157000000,9681140000000,70409000000,1650584000000,,-692866000000,849482012000000,,131000000,153173002000000,50619678000000,102553324000000,454660779000000,,,84703300000000,25316735000000,9418750000000,,15897985000000,,717853947000000,131628065000000,36257461000000,35225108000000,,476356000000,,,555997000000,45725637000000,,,48328134000000,1316833000000,,849482012000000,104993945000000,3046245000000,8892697000000,,80543424000000
