period,trailing_eps,book_value_per_share,pe,pb,dividend_yield,beta
2026-Q1,3675,26344,8.35,1.17,0.03,1.16
2025-Q4,3576,25331,9.76,1.38,0.03,1.2
2025-Q3,3113,25321,12.16,1.49,0.03,1.21
2025-Q2,3075,22906,11.12,1.49,0,1.22
2025-Q1,3506,21791,7.84,1.26,0.05,1.24
2024-Q4,4116,20940,5.99,1.18,0.06,1.22
2024-Q3,5254,20492,4.61,1.18,0.06,1.43
2024-Q2,6098,39333,3.83,0.59,0.06,1.44
2024-Q1,5606,39140,8.48,1.21,0,1.47
2023-Q4,5118,37368,6.21,0.85,0,1.41
2023-Q3,4864,36145,6.92,0.93,0,1.39
2023-Q2,5061,34819,6.39,0.93,0,1.41
2023-Q1,5446,33539,5.21,0.85,0,1.36
2022-Q4,5735,32248,4.51,0.8,0,1.44
2022-Q3,6036,31246,5.38,1.04,0,1.35
2022-Q2,5766,29757,6.17,1.19,0,1.39
2022-Q1,5458,28080,9.08,1.76,0,1.33
2021-Q4,5144,26505,9.72,1.89,0,1.3
2021-Q3,4965,25174,9.99,1.97,0,1.32
2021-Q2,4614,23938,11.42,2.2,0,1.35
2021-Q1,4074,22566,9.92,1.79,0,1.4
2020-Q4,3521,21289,8.95,1.48,0,1.22
2020-Q3,3258,20173,6.94,1.12,0,1.16
2020-Q2,3103,19265,6.3,1.01,0,1.18
2020-Q1,2987,18454,5.02,0.81,0,1.2
2019-Q4,2881,17734,8.17,1.33,0,1.32
2019-Q3,2660,16857,8.78,1.39,0,1.33
2019-Q2,2581,16120,7.89,1.26,0,1.33
2019-Q1,2680,15408,9.55,1.66,0,1.36
2018-Q4,2781,14809,9.29,1.75,0,0
2018-Q3,3256,14151,8.95,2.06,0,0
2018-Q2,7216,40693,12.71,2.25,0,0
2018-Q1,6379,32274,0,0,0,0
2017-Q4,5530,23106,0,0,0,0
2017-Q3,5400,21889,0,0,0,0
2017-Q2,4630,24500,0,0,0,0
2017-Q1,4255,23262,0,0,0,0
2016-Q4,3598,22113,0,0,0,0
2016-Q3,3003,21111,0,0,0,0
2016-Q2,2307,19977,0,0,0,0
2016-Q1,1967,19099,0,0,0,0
2015-Q4,1784,18617,0,0,0,0
2015-Q3,1564,18203,0,0,0,0
2015-Q2,1291,17746,0,0,0,0
2015-Q1,980,17227,0,0,0,0
2014-Q4,1219,16895,0,0,0,0
2014-Q3,1124,16695,0,0,0,0
2014-Q2,1052,16514,0,0,0,0
2014-Q1,1097,16275,0,0,0,0
2013-Q4,953,15679,0,0,0,0
2013-Q3,-527,15651,0,0,0,0
2013-Q2,45,15578,0,0,0,0
2013-Q1,-243,15455,0,0,0,0
2012-Q4,-692,15020,0,0,0,0
2012-Q3,682,16280,0,0,0,0
2012-Q2,0,15828,0,0,0,0
