period,profit_before_tax,2_dieu_chinh_cho_cac_khoan,khau_hao_tai_san_co_dinh,cac_khoan_lap_du_phong,lai_lo_chenh_lech_ty_gia_hoi_doai_chua_thuc_hien,chi_phi_phai_tra_chi_phi_tra_truoc,lai_lo_tu_hoat_dong_dau_tu_dau_tu_cong_ty_con_lien_doanh_lien_ket,chi_phi_lai_vay,du_thu_tien_lai,3_tang_cac_chi_phi_phi_tien_te,lo_danh_gia_gia_tri_cac_tai_san_tai_chinh_ghi_nhan_thong_qua_ket_qua_kinh_doanh,4_giam_cac_doanh_thu_phi_tien_te,lai_danh_gia_gia_tri_cac_tai_san_tai_chinh_ghi_nhan_thong_qua_ket_qua_kinh_doanh,lai_ve_ghi_nhan_chenh_lech_danh_gia_theo_gia_tri_hop_ly_tstc_san_sang_de_ban_afs_khi_phan_loai_lai,5_thay_doi_tai_san_va_no_phai_tra_hoat_dong,tang_giam_tai_san_tai_chinh_ghi_nhan_thong_qua_lai_lo,tang_giam_cac_khoan_dau_tu_giu_den_ngay_dao_han,tang_giam_cac_khoan_cho_vay_khach_hang,tang_giam_tai_san_tai_chinh_san_sang_de_ban,6_loi_nhuan_tu_hoat_dong_kinh_doanh_truoc_thay_doi_von_luu_dong,tang_giam_phai_thu_ban_cac_tai_san_tai_chinh,tang_giam_phai_thu_tien_lai_cac_tai_san_tai_chinh,tang_giam_cac_khoan_phai_thu_cac_dich_vu_ctck_cung_cap,tang_giam_cac_khoan_phai_thu_khac,tang_giam_cac_tai_san_khac,tang_giam_cac_khoan_phai_tra_khong_ke_lai_vay_phai_tra_thue_thu_nhap_doanh_nghiep_phai_nop,tang_giam_chi_phi_tra_truoc,thue_thu_nhap_doanh_nghiep_da_nop,tien_lai_vay_da_tra,tang_giam_phai_tra_cho_nguoi_ban,tang_giam_cac_khoan_trich_nop_phuc_loi_nhan_vien,tang_giam_thue_va_cac_khoan_phai_nop_nha_nuoc,tang_giam_phai_tra_nguoi_lao_dong,tang_giam_phai_tra_phai_nop_khac,tien_chi_khac_cho_hoat_dong_kinh_doanh,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh_chung_khoan,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,7_tien_thu_ve_co_tuc_va_loi_nhuan_duoc_chia,luu_chuyen_tien_thuan_tu_hoat_dong_dau_tu,receipts_from_equity_issue_and_owners_capital_contribution,2_tien_chi_tra_von_gop_cho_cac_chu_so_huu_mua_lai_co_phieu_quy,3_tien_vay_goc,3_2_tien_vay_khac,4_tien_chi_tra_no_goc_vay,4_3_tien_chi_tra_goc_no_vay_khac,net_cash_flows_from_financing_activities,iv_luu_chuyen_tien_thuan_trong_ky,v_tien_va_tuong_duong_tien_dau_ky,tien_gui_ngan_hang_dau_ky,tien_gui_ngan_hang_cho_hoat_dong_ctck,cac_khoan_tuong_duong_tien,cash_and_cash_equivalents_at_end_of_the_period,tien_gui_ngan_hang_cuoi_ky,1_tien_thu_ban_chung_khoan_moi_gioi_cho_khach_hang,2_tien_chi_mua_chung_khoan_moi_gioi_cho_khach_hang,9_nhan_tien_gui_de_thanh_toan_giao_dich_chung_khoan_cua_khach_hang,14_chi_tra_phi_luu_ky_chung_khoan_cua_khach_hang,17_tien_thu_cua_to_chuc_phat_hanh_chung_khoan,18_tien_chi_tra_to_chuc_phat_hanh_chung_khoan,tang_giam_tien_thuan_trong_ky,ii_tien_va_cac_khoan_tuong_duong_tien_dau_ky_cua_khach_hang,tien_gui_cua_nha_dau_tu_ve_giao_dich_chung_khoan_theo_phuong_thuc_ctck_quan_ly,tien_gui_tong_hop_giao_dich_chung_khoan_cho_khach_hang,tien_gui_cua_to_chuc_phat_hanh,iii_tien_va_cac_khoan_tuong_duong_tien_cuoi_ky_cua_khach_hang
2026-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-Q1,368022426470,228468999081,13362655423,500000000,,,-3885671434,279668124714,-61176109622,-2823593724,-2823593724,17059911200,17059911200,,-404507028374,-15406745565,179096000000,-479786919818,-88409362991,206220714653,-503518400000,72367998595,-678268370,-521774637,-1527704815,-114984432342,-7499494151,-144081272221,-290037903964,9019419263,-828647500,22220364518,4278250276,-26687623377,-27565922760,-803824696832,-9002873240,1384545455,2501125979,-5117201806,85921940000,,17355426475209,17355426475209,-17141060658337,-17141060658337,300287756872,-508654141766,2431266116691,4614393208274,1920611974925,2000000000,1922611974925,6220134631291,100272163884790,-100370066994339,1430430818400,-5683134654,502028990953,-421982001953,1406891563197,4614393208274,5797993777496,243529543149,178611310646,6021284771471
2025-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,338936016936,1066221700,13457963015,-77343664986,,161953248365,-2282152193,,-94719172501,26711978938,26711978938,-19679597277,-19679597277,,-479283424764,-602749863313,92670071294,-1148076589943,1178872957198,-132248804467,57232600000,233517069082,-865301655,3290046626,-48895808706,-29513855700,-1600229581,-87275739781,-169837768144,-396339100,-140069978,2353281763,2321913168,-33144935579,,-205203942052,-12449640000,,,-12449640000,,,10889120592365,10889120592365,-10846646715126,-10846646715126,42473877239,-175179704813,1773543835124,3358932288854,1578364130310,2000000000,1598364130311,4386498610422,51125045194287,-53595845309011,3500912034456,-4097326164,238752090730,-237200362730,1027566321568,3358932288854,4169126217157,209887908619,7484484646,4386498610422
2024-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,465211957740,134367069846,29500579216,13492181390,-82111,,2558466704,249883377164,-161067452517,73607054,73607054,-4616164747,1467440693,-6083605440,-2194875263212,-478170851890,-206415601937,-760140572713,-750148236672,-1599838793319,,231545521630,-16351382408,-4799247089,-6140503638,-7950954324,6294197492,-97433395241,-265671160190,359466697,-250687800,4737405772,-620910038,471514889363,,-1284605553093,-7713210000,384818182,,-7328391818,,9901273,20124404199270,20124404199270,-18681971202235,-18681971202235,1442442898308,150508953397,571249283464,4232508528453,606758236860,115000000000,721758236861,5269350382772,136852734672505,-140373619820380,4536987525622,-8407877428,770397185792,-741249831792,1036841854319,4232508528453,4983289342821,247570105305,38490934646,5269350382772
2024-Q1,229619509208,-47799309167,16368262537,13488181398,,,996041,125427851194,-203084600337,87501592,87501592,-1476339921,-1476339921,,-609316225336,-25121322622,-19296712329,-650597825998,85699635613,-428884863624,,231545521630,-1189963487,-1873377136,-3135955926,16888645633,1631898726,-50662586190,-128265607192,2562978693,-593676800,15728996985,4013866031,377218171837,,34984049180,-23323474604,21746936399,,-1576538205,,,10563909572887,10563909572887,-10000225931431,-10000225931431,563683641456,597091152431,571249283464,4232508528453,1138340435894,30000000000,1168340435895,5395356344219,66614784700700,-67655061379950,2432540867602,-4013317351,476476112857,-422937108857,1441789875001,4232508528453,4911635086904,420838672669,62882584646,5674298403454
2023-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
