ticker,doc_url,doc_title,doc_name
MBS,https://static2.vietstock.vn/data/HNX/2026/BCTC/VN/QUY 2/MBS_Baocaotaichinh_Q2_2026.zip,BCTC quý 2 năm 2026 ,Báo cáo tài chính quý 2 năm 2026 
MBS,https://static2.vietstock.vn/data/HNX/2026/BCTC/VN/QUY 1/MBS_Baocaotaichinh_Q1_2026.zip,BCTC quý 1 năm 2026 ,Báo cáo tài chính quý 1 năm 2026 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/NAM/MBS_Baocaotaichinh_2025_Kiemtoan.zip,BCTC Kiểm toán năm 2025 ,Báo cáo tài chính Kiểm toán năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 4/MBS_Baocaotaichinh_Q4_2025.zip,BCTC quý 4 năm 2025 ,Báo cáo tài chính quý 4 năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 3/MBS_Baocaotaichinh_Q3_2025.zip,BCTC quý 3 năm 2025 ,Báo cáo tài chính quý 3 năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 2/MBS_Baocaotaichinh_6T_2025.zip,BCTC Soát xét 6 tháng đầu năm 2025 ,Báo cáo tài chính Soát xét 6 tháng đầu năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 2/MBS_Baocaotaichinh_Q2_2025.zip,BCTC quý 2 năm 2025 ,Báo cáo tài chính quý 2 năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 2/MBS_Baocaotaichinh_Q2_2025.pdf,BCTC quý 2 năm 2025 ,Báo cáo tài chính quý 2 năm 2025 
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 1/MBS_CDKT_Q1_2025_DieuChinh.zip,CDKT quý 1 năm 2025 (điều chỉnh),Cân đối kế toán quý 1 năm 2025 (điều chỉnh)
MBS,https://static2.vietstock.vn/data/HNX/2025/BCTC/VN/QUY 1/MBS_Baocaotaichinh_Q1_2025.pdf,BCTC quý 1 năm 2025 ,Báo cáo tài chính quý 1 năm 2025 
