period,1_thu_nhap_lai_va_cac_khoan_thu_nhap_tuong_tu,2_chi_phi_lai_va_cac_chi_phi_tuong_tu,i_thu_nhap_lai_thuan,3_thu_nhap_tu_hoat_dong_dich_vu,4_chi_phi_hoat_dong_dich_vu,ii_lai_lo_thuan_tu_hoat_dong_dich_vu,iii_lai_lo_thuan_tu_hoat_dong_kinh_doanh_ngoai_hoi_va_vang,iv_lai_lo_thuan_tu_mua_ban_chung_khoan_kinh_doanh,v_lai_lo_thuan_tu_mua_ban_chung_khoan_dau_tu,5_thu_nhap_tu_hoat_dong_khac,6_chi_phi_hoat_dong_khac,vi_lai_lo_thuan_tu_hoat_dong_khac,vii_thu_nhap_tu_gop_von_mua_co_phan,viii_chi_phi_hoat_dong,ix_loi_nhuan_thuan_tu_hoat_dong_kinh_doanh_truoc_chi_phi_du_phong_rui_ro_tin_dung_i_ii_iii_iv_v_vi_vii_viii,x_chi_phi_du_phong_rui_ro_tin_dung,xi_tong_loi_nhuan_truoc_thue_ix_x,7_chi_phi_thue_tndn_hien_hanh,8_chi_phi_thue_tndn_hoan_lai,xii_chi_phi_thue_tndn,xiii_loi_nhuan_sau_thue_xi_xii,xiv_loi_ich_cua_co_dong_thieu_so,xv_loi_nhuan_sau_thue_cua_co_dong_cua_ngan_hang_me_xiii_xiv
2026-Q1,19697005000000,10174952000000,9522053000000,4292976000000,1144519000000,3148457000000,583817000000,42771000000,238735000000,989740000000,851241000000,138499000000,-58000000,3869012000000,9805262000000,935292000000,8869970000000,1920387000000,-697000000,1919690000000,6950280000000,279199000000,6671081000000
2025-Q4,19164244000000,8376265000000,10787979000000,3619760000000,1048825000000,2570935000000,212818000000,-8623000000,736643000000,1250407000000,756689000000,493718000000,1303000000,4823975000000,9970798000000,817564000000,9153234000000,2136120000000,37288000000,2173408000000,6979826000000,304264000000,6675562000000
2025-Q3,17599575000000,7674932000000,9924643000000,3276239000000,1010302000000,2265937000000,559414000000,-149808000000,1059359000000,1703996000000,1127755000000,576241000000,6337000000,4492851000000,9749272000000,1499256000000,8250016000000,1636587000000,-96000000,1636491000000,6613525000000,194181000000,6419344000000
2025-Q2,16303607000000,7166531000000,9137076000000,3052422000000,945431000000,2106991000000,415158000000,31979000000,599870000000,1730032000000,1309593000000,420439000000,31518000000,3830693000000,8912338000000,1013750000000,7898588000000,1549782000000,1196000000,1550978000000,6347610000000,100246000000,6247364000000
2025-Q1,14950024000000,6644631000000,8305393000000,2578542000000,750410000000,1828132000000,454811000000,178426000000,450449000000,1741899000000,1347955000000,393944000000,43000000,3284915000000,8326283000000,1090055000000,7236228000000,1221736000000,981000000,1222717000000,6013511000000,65551000000,5947960000000
2024-Q4,15064961000000,6463144000000,8601817000000,2262105000000,799263000000,1462842000000,-424270000000,2001000000,249851000000,3884139000000,4221848000000,-337709000000,67000000,4740723000000,4813876000000,117844000000,4696032000000,1282376000000,-6455000000,1275921000000,3420111000000,49046000000,3371065000000
2024-Q3,15168282000000,6239606000000,8928676000000,2675088000000,728305000000,1946783000000,61041000000,-527000000,389242000000,1986320000000,1563606000000,422714000000,6406000000,3430902000000,8323433000000,1109265000000,7214168000000,1422429000000,-1283000000,1421146000000,5793022000000,55517000000,5737505000000
2024-Q2,15348981000000,5871055000000,9477926000000,3189894000000,728422000000,2461472000000,411351000000,103232000000,646934000000,1967716000000,1706986000000,260730000000,58051000000,3948974000000,9470722000000,1644213000000,7826509000000,1558837000000,-2296000000,1556541000000,6269968000000,76607000000,6193361000000
2024-Q1,14507238000000,6007694000000,8499544000000,2834555000000,663404000000,2171151000000,544434000000,-23405000000,1073030000000,1486753000000,1489777000000,-3024000000,37000000,3249136000000,9012631000000,1210972000000,7801659000000,1524069000000,587000000,1524656000000,6277003000000,56006000000,6220997000000
2023-Q4,14444980000000,6847777000000,7597203000000,3203500000000,707749000000,2495751000000,312534000000,32233000000,247528000000,1224044000000,915472000000,308572000000,23633000000,3610089000000,7407365000000,1634295000000,5773070000000,1295383000000,-3928000000,1291455000000,4481615000000,42706000000,4438909000000
2023-Q3,14532716000000,7260556000000,7272160000000,3008697000000,753037000000,2255660000000,123789000000,-5587000000,634737000000,719642000000,590358000000,129284000000,8450000000,3630731000000,6787762000000,944972000000,5842790000000,1177199000000,-3114000000,1174085000000,4668705000000,55762000000,4612943000000
2023-Q2,13997858000000,7702981000000,6294877000000,2621676000000,602328000000,2019348000000,-11153000000,8707000000,74200000000,1657903000000,718743000000,939160000000,31000000,2868890000000,6456280000000,807270000000,5649010000000,1146560000000,-999000000,1145561000000,4503449000000,48394000000,4455055000000
2023-Q1,13732205000000,7205325000000,6526880000000,2544212000000,600074000000,1944138000000,-229420000000,29267000000,-30632000000,2858105000000,1801006000000,1057099000000,2642000000,3142086000000,6157888000000,534530000000,5623358000000,1087579000000,-1318000000,1086261000000,4537097000000,40202000000,4496895000000
2022-Q4,12250039000000,5430628000000,6819411000000,3347346000000,812774000000,2534572000000,-304011000000,-11259000000,-106393000000,1107240000000,612268000000,494972000000,30000000,3989840000000,5437482000000,691259000000,4746223000000,1213783000000,-39647000000,1174136000000,3572087000000,27815000000,3544272000000
2022-Q3,11251381000000,3685920000000,7565461000000,2708827000000,585768000000,2123059000000,27677000000,17771000000,156659000000,1135827000000,694501000000,441326000000,6415000000,3014021000000,7324347000000,609268000000,6715079000000,1343692000000,3847000000,1347539000000,5367540000000,69574000000,5297966000000
2022-Q2,10563140000000,2769300000000,7793840000000,2386902000000,309766000000,2077136000000,-32801000000,-152679000000,593985000000,1295430000000,541498000000,753932000000,2295000000,3297191000000,7738517000000,417381000000,7321136000000,1441347000000,,1441347000000,5879789000000,79298000000,5800491000000
2022-Q1,10688076000000,2577013000000,8111063000000,2397262000000,604535000000,1792727000000,34072000000,-95678000000,-218698000000,972806000000,484307000000,488499000000,51000000,3108320000000,7003716000000,218386000000,6785330000000,1170786000000,,1170786000000,5614544000000,109930000000,5504614000000
2021-Q4,9510371000000,2265768000000,7244603000000,2695597000000,592550000000,2103047000000,-27843000000,-28535000000,331768000000,1052548000000,520578000000,531970000000,4001000000,3391848000000,6767163000000,627184000000,6139979000000,1456161000000,,1456161000000,4683818000000,91588000000,4592230000000
2021-Q3,9120277000000,2377788000000,6742489000000,1921277000000,424238000000,1497039000000,93418000000,-15779000000,306408000000,933055000000,777501000000,155554000000,20000000,2627889000000,6151260000000,588931000000,5562329000000,1130274000000,,1130274000000,4432055000000,94455000000,4337600000000
2021-Q2,8721445000000,2136927000000,6584518000000,1934790000000,477709000000,1457081000000,100254000000,61654000000,554701000000,1070117000000,622383000000,447734000000,21000000,2590526000000,6615437000000,597671000000,6017766000000,1211109000000,,1211109000000,4806657000000,95625000000,4711032000000
2021-Q1,8151158000000,2027437000000,6123721000000,1706894000000,381822000000,1325072000000,65621000000,134965000000,611531000000,1291294000000,620023000000,671271000000,21000000,2563083000000,6369119000000,850817000000,5518302000000,1042085000000,,1042085000000,4476217000000,79488000000,4396729000000
2020-Q4,7678930000000,2184997000000,5493933000000,1652522000000,583388000000,1069134000000,13411000000,27787000000,500764000000,1351698000000,698839000000,652859000000,4002000000,2306767000000,5455123000000,366266000000,5088857000000,1081306000000,,1081306000000,4007551000000,54452000000,3953099000000
2020-Q3,7700905000000,2553225000000,5147680000000,1586271000000,441253000000,1145018000000,45850000000,127725000000,203813000000,1653429000000,826901000000,826528000000,150000000,2489180000000,5007584000000,1033718000000,3973866000000,793599000000,,793599000000,3180267000000,81249000000,3099018000000
2020-Q2,6630891000000,2695513000000,3935378000000,1523122000000,410497000000,1112625000000,-30213000000,92559000000,235223000000,1269814000000,862058000000,407756000000,39000000,1697493000000,4055874000000,439031000000,3616843000000,727848000000,,727848000000,2888995000000,72116000000,2816879000000
2020-Q1,7004186000000,2791774000000,4212412000000,1309379000000,447378000000,862001000000,-28303000000,73326000000,557197000000,1172031000000,818200000000,353831000000,,2137714000000,3892750000000,772020000000,3120730000000,615076000000,,615076000000,2505654000000,49762000000,2455892000000
2019-Q4,6628302000000,2724093000000,3904209000000,1861972000000,498339000000,1363633000000,-33555000000,132331000000,647694000000,1490285000000,877440000000,612845000000,20000000,2336823000000,4290354000000,312328000000,3978026000000,859200000000,,859200000000,3118826000000,89580000000,3029246000000
2019-Q3,6272798000000,2650732000000,3622066000000,1204502000000,466376000000,738126000000,18069000000,111482000000,445702000000,978914000000,559784000000,419130000000,4016000000,1794313000000,3564278000000,365730000000,3198548000000,615956000000,,615956000000,2582592000000,28363000000,2554229000000
2019-Q2,5864332000000,2740307000000,3124025000000,1177837000000,347037000000,830800000000,110905000000,69254000000,86393000000,965478000000,499253000000,466225000000,146000000,1570957000000,3116791000000,71980000000,3044811000000,612023000000,,612023000000,2432788000000,23843000000,2408945000000
2019-Q1,6002834000000,2643365000000,3359469000000,888172000000,319303000000,568869000000,9162000000,84597000000,63970000000,990402000000,681875000000,308527000000,34000000,1610310000000,2784318000000,167329000000,2616989000000,524880000000,,524880000000,2092109000000,9284000000,2082825000000
2018-Q4,5576449000000,2617437000000,2959012000000,1750460000000,327861000000,1422599000000,-12948000000,53396000000,52930000000,1351481000000,771105000000,580376000000,,2108849000000,2946516000000,59710000000,2886806000000,622057000000,,622057000000,2264749000000,11222000000,2253527000000
2018-Q3,5677781000000,2560876000000,3116905000000,1171873000000,239737000000,932136000000,48455000000,116620000000,-39389000000,875759000000,415343000000,460416000000,,1314671000000,3320472000000,742614000000,2577858000000,518294000000,,518294000000,2059564000000,,2059564000000
