report_period,ma_cp,tien_gui_cua_khach_hang
2018-Q1,MBS,1793648653342.0
2018-Q2,MBS,2013494638605.0
2018-Q3,MBS,1836166991847.0
2018-Q4,MBS,1518756848324.0
2019-Q1,MBS,1759418812747.0
2019-Q2,MBS,1290949205744.0
2019-Q3,MBS,1066465408826.0
2019-Q4,MBS,869485669089.0
2020-Q1,MBS,1400606876940.0
2020-Q2,MBS,1737504679290.0
2020-Q3,MBS,2001723133242.0
2020-Q4,MBS,2531036532005.0
2021-Q1,MBS,3083280181339.0
2021-Q2,MBS,4360585285945.0
2021-Q3,MBS,4092495904566.0
2021-Q4,MBS,3676971073048.0
2022-Q1,MBS,4106875407642.0
2022-Q2,MBS,4054437145978.0
2022-Q3,MBS,3694483223054.0
2022-Q4,MBS,3079468867120.0
2023-Q1,MBS,2766882738954.0
2023-Q2,MBS,3382163096393.0
2023-Q3,MBS,3905234311870.0
2023-Q4,MBS,4232508528453.0
2024-Q1,MBS,5674298403454.0
2024-Q2,MBS,5269350382772.0
2024-Q3,MBS,4327560544733.0
2024-Q4,MBS,3358932288854.0
2025-Q1,MBS,4386498610422.0
2025-Q2,MBS,5387556898641.0
2025-Q3,MBS,7337952421578.0
2025-Q4,MBS,4632778248863.0
2026-Q1,MBS,6021284771471.0
2026-Q2,MBS,3853459711351.0
