period,trailing_eps,book_value_per_share,pe,pb,ps,dividend_yield,beta,ev_ebit,ev_ebitda
2026-Q2,1964,11931,10.23,1.68,16.82,0.06,1.26,0,0
2026-Q1,1922,12547,12.54,1.92,15.78,0.05,1.83,0,0
2025-Q4,1951,12137,13.33,2.14,16.85,0.05,1.91,0,0
2025-Q3,1740,12220,19.66,2.8,16.86,0.04,1.93,0,0
2025-Q2,1562,12839,17.28,2.1,19.52,0.04,1.69,0,0
2025-Q1,1657,12534,18.05,2.39,25.6,0.04,1.79,0,0
2024-Q4,1584,12061,18.05,2.37,21.62,0.04,1.87,0,0
2024-Q3,1713,11291,18.62,2.83,21.66,0.04,1.9,0,0
2024-Q2,1733,12358,17.95,2.52,15.41,0,1.75,0,0
2024-Q1,1567,11929,19.34,2.54,19.69,0,1.71,0,0
2023-Q4,1466,11512,15.49,1.97,18.4,0,1.6,0,0
2023-Q3,1274,11117,17.89,2.05,18.51,0,1.52,0,0
2023-Q2,1261,12348,14.67,1.5,17.56,0,1.5,0,0
2023-Q1,1362,12104,11.6,1.31,17.9,0,1.62,0,0
2022-Q4,1755,11785,7.01,1.04,11.53,0,1.6,0,0
2022-Q3,2290,14268,7.64,1.23,10.89,0,1.51,0,0
2022-Q2,2524,13815,6.58,1.2,8.66,0,1.51,0,0
2022-Q1,2801,13497,12.1,2.51,14.88,0,1.42,0,0
2021-Q4,2651,12749,15.24,3.17,16.41,0,1.4,0,0
2021-Q3,2647,12111,12.28,2.68,16.89,0,1.33,0,0
2021-Q2,2348,11425,13.38,2.75,13.06,0,1.28,0,0
2021-Q1,2083,13147,10.8,1.71,9.22,0.04,1.16,36.66,0
2020-Q4,1734,12539,9.51,1.32,7.64,0.06,0.81,39.52,0
2020-Q3,1596,11943,6.46,0.86,6.75,0.1,0.71,40.68,0
2020-Q2,1590,11556,5.98,0.82,5.45,0.11,0.75,28.47,0
2020-Q1,1615,12148,5.2,0.69,4.6,0,0.9,215.8,0
2019-Q4,1882,13674,7.65,1.05,6.42,0,0.98,29.64,0
2019-Q3,1404,13193,10.82,1.15,8.11,0,0.99,46.49,0
2019-Q2,1450,12820,10.21,1.15,7.31,0,1.08,31.61,0
2019-Q1,1349,12268,11.93,1.31,10.15,0,1.12,40.4,0
2018-Q4,1452,11960,9.5,1.15,7.49,0,1.16,2695.87,0
2018-Q3,1488,11957,12.43,1.55,10.35,0,1.05,43.38,0
2018-Q2,1122,11538,13.54,1.32,6.34,0.03,1.08,28.09,0
2018-Q1,713,11098,26.1,1.68,7.43,0.03,0.7,30.3,0
2017-Q4,196,10519,73.39,1.37,5.79,0.03,1.06,454.36,0
2017-Q3,159,10479,74.13,1.13,7.28,0.04,1.18,276.87,0
2017-Q2,150,10927,66.74,0.92,6.72,0,0.95,177.94,0
2017-Q1,108,10911,56.35,0.56,4.83,0,0.65,-19.18,0
2016-Q4,136,10843,36.67,0.46,3.92,0,0.43,2693.17,0
2016-Q3,-42,10841,-124.89,0,0,0,0,185.06,150.36
2016-Q2,-64,10798,-92.85,0,0,0,0,-863081.85,1877.56
2016-Q1,156,10807,43.65,0,0,0,0,-532.59,-1002.18
2015-Q4,76,10724,0,0,0,0,0,12.05,12.55
2015-Q3,302,10900,0,0,0,0,0,-73.67,-55.29
2015-Q2,643,10879,0,0,0,0,0,-13.63,-13.34
2015-Q1,437,10695,0,0,0,0,0,31.6,34.56
2014-Q4,596,10684,0,0,0,0,0,-54.18,-49.57
2014-Q3,564,10634,0,0,0,0,0,-18.75,-18.41
2014-Q2,201,10277,0,0,0,0,0,-477.48,-305.58
2014-Q1,216,10189,0,0,0,0,0,-44.56,-43.33
2013-Q4,107,10019,0,0,0,0,0,-310.69,-13.77
2013-Q2,134,6819,0,0,0,0,0,16.05,17.74
2013-Q1,155,6795,0,0,0,0,0,7.96,14.7
2012-Q4,94,6734,0,0,0,0,0,43.28,28.1
2012-Q3,58,6699,0,0,0,0,0,151.4,58.94
2012-Q2,49,6694,0,0,0,0,0,192.2,23.03
