symbol,exchange,reference_price,ceiling_price,price,floor_price,accumulated_value,accumulated_volume,market_cap,price_change_percent,avg_value_30d,avg_value_10d,est_volume,pe,pb,roe,revenue_growth_yoy,match_price_time,ema_time,ema_20_ema_50,last_modified_date,company_name_en,short_name_en,company_name,short_name,icb_code2,industry_en,vi_sector,icb_code4,stock_strength,source_universe,source_strategy,rs_3m,stock_trend,adx,volume_breakout_30d,prev_rsi,rsi,sector_hint,sector_raw,sector
ACB,HOSE,23100.0,24700.0,23750.0,21500.0,1071959975000.0,45574000.0,137855021478750.0,2.81385281,468467761620.0,243.34685351,42413759.12408742,8.2426767301,1.3577794311,17.49605442,29.21123744,2026-07-16T08:19:00.54,1784073600,2.91157314,2026-07-16T08:22:53.849,Asia Commercial Joint Stock Bank,Asia Commercial Bank,Ngân hàng Thương mại Cổ phần Á Châu,ACB,8300,Banks,Ngân hàng,8355,86.0,screener,GARP,,,,,,,,8300,bank
HDB,HOSE,26350.0,28150.0,27150.0,24550.0,360932925000.0,13607200.0,135893252169450.0,3.03605313,259177059761.66666,11.69679319,12655167.46702308,7.4329671434,1.6417356991,23.16602995,32.85032004,2026-07-16T08:19:11.34,1784073600,1.04187886,2026-07-16T08:22:55.069,Ho Chi Minh City Development Joint Stock Commercial Bank,HDBank,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,HDBank,8300,Banks,Ngân hàng,8355,76.0,screener,GARP,,,,,,,,8300,bank
KLB,HOSE,12550.0,13400.0,12400.0,11700.0,5280840000.0,429100.0,9287455378800.0,-1.19521912,10569912770.0,-54.35710998,399005.10514107,4.7275439019,1.0686463446,24.71255875,12.34981837,2026-07-16T08:19:14.84,1784073600,4.20849645,2026-07-16T08:22:55.434,Kien Long Commercial Joint Stock Bank,KienlongBank,Ngân hàng Thương mại Cổ phần Kiên Long,KienlongBank,8300,Banks,Ngân hàng,8355,85.0,screener,GARP,,,,,,,,8300,bank
NAB,HOSE,13000.0,13900.0,13050.0,12100.0,39972030000.0,3096600.0,28172630780100.0,0.38461538,29432927251.666668,5.6311253,2878895.30291055,5.949328935,1.1371644428,19.72106879,45.03409471,2026-07-16T08:19:17.34,1784073600,3.16136618,2026-07-16T08:22:55.747,Nam A Commercial Joint Stock Bank,Nam A Bank,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng Nam Á,8300,Banks,Ngân hàng,8355,84.0,screener,GARP,,,,,,,,8300,bank
ABB,UPCOM,16900.0,19400.0,17700.0,14400.0,43222490000.0,2463000.0,28440182769900.0,4.73372781,31379840796.666668,12.60819725,2293137.93103398,6.5412870312,1.518137489,21.18864627,49.46042643,2026-07-16T08:20:00.106,1784073600,7.83982156,2026-07-16T08:22:53.83,An Binh Commercial Joint Stock Bank,An Binh Bank,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng An Bình,8300,Banks,Ngân hàng,8355,93.0,screener,GARP,,,,,,,,8300,bank
STB,HOSE,69800.0,74600.0,71800.0,65000.0,518118860000.0,7250100.0,135358488408800.0,2.86532951,326832853950.0,148.44837008,6737929.29599733,,,,,2026-07-16T08:19:23.64,1784073600,,2026-07-16T08:22:56.663,Saigon Treasure Commercial Joint Stock Bank,Sacombank,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,NH Sài Gòn Tài Lộc (SACOMBANK),8300,Banks,Ngân hàng,8355,64.0,screener,breakout_strategy,,,,48.05128139,"{'avgGain': 409.0327103225406, 'avgLoss': 497.15148172049766, 'rsi': 45.13792161838044, 'closePrice': 69800.0, 'latestDay': True}",53.100259473848475,,8300,bank
MSB,HOSE,16300.0,17400.0,16350.0,15200.0,134817885000.0,8284800.0,51012000000000.0,0.30674847,135639222241.66667,18.203886,7702809.91735509,8.6531869833,1.1563986677,14.13688903,,2026-07-16T08:19:16.44,1784073600,,2026-07-16T08:22:55.705,Vietnam Maritime Commercial Joint Stock Bank,MSB Bank,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,MSB Bank,8300,Banks,Ngân hàng,8355,89.0,screener,value_strategy,,,,,,,,8300,bank
OCB,HOSE,10750.0,11500.0,10800.0,10000.0,25337585000.0,2359300.0,33075109360800.0,0.46511628,62648154268.333336,-38.24354177,2193297.48450603,7.6792265245,0.9433043154,12.69903696,,2026-07-16T08:19:18.54,1784073600,,2026-07-16T08:22:55.92,Orient Commercial Joint Stock Bank,OCB Bank,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Phương Đông,8300,Banks,Ngân hàng,8355,64.0,screener,value_strategy,,,,,,,,8300,bank
SHB,HOSE,12600.0,13450.0,12700.0,11750.0,565419540000.0,44944200.0,67865038742600.0,0.79365079,628741116948.3334,-8.11338325,41771732.47479108,4.8767940025,0.9387571714,18.13412375,,2026-07-16T08:19:22.64,1784073600,,2026-07-16T08:22:56.536,Saigon - Hanoi Commercial Joint Stock Bank,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,SHB,8300,Banks,Ngân hàng,8355,13.0,screener,value_strategy,,,,,,,,8300,bank
TPB,HOSE,15300.0,16350.0,15400.0,14250.0,214476250000.0,14125400.0,42720321844200.0,0.65359477,208156028918.33334,51.82181319,13125143.93295222,5.7689790042,0.9568814131,17.13462161,,2026-07-16T08:19:26.44,1784073600,,2026-07-16T08:22:56.935,Tien Phong Commercial Joint Stock Bank,TPBank,Ngân hàng Thương mại Cổ phần Tiên Phong,TPBank,8300,Banks,Ngân hàng,8355,25.0,screener,value_strategy,,,,,,,,8300,bank
