symbol,sector,action,action_rank,decision_source,decision_engine,heuristic_action,llm_action,llm_status,decision_agreement,confidence,score_3m,score_1y,composite,technical_score,flow_score,fundamental_quality_score,valuation_score,insight_score,risk_penalty,current_price,entry_price_low,entry_price_high,stop_loss,base_target,bull_target,bear_target,expected_return,risk_reward,prob_bear,prob_base,prob_bull,suggested_quantity,suggested_position_value,buy_strategy,reason,heuristic_reason,llm_reason,llm_error,errors_count
HDB,bank,BUY_CANDIDATE,0,llm,project_gemini,WATCHLIST,BUY_CANDIDATE,success,False,0.78,73.632,72.27199999999999,73.088,100.0,54.0,72.92,67.48,65.0,0.0,27150.0,26878.5,27421.5,26130.46,35012.08,37329.04,26017.18,0.2761564732966282,7.711429890341098,0.16465434473669038,0.3534148590639675,0.4819307961993421,5524,149976100.0,pullback,"HDB đang trong xu hướng tăng mạnh với điểm kỹ thuật cao, định giá P/E hấp dẫn (6.0) và dòng tiền khối ngoại hỗ trợ tốt. Vị thế pullback về MA20 cung cấp tỷ lệ rủi ro/lợi nhuận (7.71) rất tối ưu.","Heuristic decision from composite=73.1, R/R=7.71, expected_return=27.62%, setup=PULLBACK_TO_MA20.","HDB đang trong xu hướng tăng mạnh với điểm kỹ thuật cao, định giá P/E hấp dẫn (6.0) và dòng tiền khối ngoại hỗ trợ tốt. Vị thế pullback về MA20 cung cấp tỷ lệ rủi ro/lợi nhuận (7.71) rất tối ưu.",,0
KLB,bank,BUY_CANDIDATE,0,llm,project_gemini,WATCHLIST,BUY_CANDIDATE,success,False,0.72,68.824,70.7415,69.591,87.0,48.0,72.065,82.11000000000001,55.0,0.0,12550.0,12424.5,12675.5,12076.5,31316.28,33195.26,11738.33,1.286642168714084,39.6331156810982,0.17821689160365345,0.35865806933326566,0.4631250390630809,11952,150000000.0,pullback,"KLB có định giá P/E và P/B rất hấp dẫn cùng ROE cao. Kỹ thuật đang ở vùng pullback MA20 với xu hướng mạnh, tỷ lệ rủi ro/lợi nhuận cực kỳ tốt dù dòng tiền tự doanh đang bán ròng.","Heuristic decision from composite=69.6, R/R=39.63, expected_return=128.66%, setup=PULLBACK_TO_MA20.","KLB có định giá P/E và P/B rất hấp dẫn cùng ROE cao. Kỹ thuật đang ở vùng pullback MA20 với xu hướng mạnh, tỷ lệ rủi ro/lợi nhuận cực kỳ tốt dù dòng tiền tự doanh đang bán ròng.",,0
ACB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.72,66.324,66.814,66.52,100.0,24.0,61.339999999999996,67.56,75.0,0.0,23750.0,23512.5,23987.5,22831.5,28132.25,29820.18,22729.44,0.17209737423599125,4.771081578621425,0.19154725137119005,0.3700719680333134,0.43838078059549657,6315,150000000.0,breakout,"ACB đang trong xu hướng tăng mạnh (Trend score 100) với tín hiệu BREAKOUT_55D và khối lượng giao dịch đột biến. Định giá P/E 7.09 hấp dẫn so với chất lượng tài sản, tỷ lệ Risk/Reward 4.77 rất tốt.","Heuristic decision from composite=66.5, R/R=4.77, expected_return=17.21%, setup=BREAKOUT_55D.","ACB đang trong xu hướng tăng mạnh (Trend score 100) với tín hiệu BREAKOUT_55D và khối lượng giao dịch đột biến. Định giá P/E 7.09 hấp dẫn so với chất lượng tài sản, tỷ lệ Risk/Reward 4.77 rất tốt.",,0
ABB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.72,66.69200000000001,65.33449999999999,66.149,92.0,50.0,62.495,65.93,50.0,0.0,17000.0,16830.0,17170.0,16083.32,19572.21,20746.54,15981.47,0.14185349474600284,2.8060079415034194,0.19324159003704455,0.35272933181351873,0.4540290781494367,8181,139077000.0,pullback,"ABB cho thấy xu hướng tăng mạnh với định giá P/E hấp dẫn (4.74) và dòng tiền từ khối tự doanh rất tích cực. Tỷ lệ Risk/Reward đạt 2.8, phù hợp để giải ngân trong vùng giá hiện tại.","Heuristic decision from composite=66.1, R/R=2.81, expected_return=14.19%, setup=UPTREND_CONTINUATION.","ABB cho thấy xu hướng tăng mạnh với định giá P/E hấp dẫn (4.74) và dòng tiền từ khối tự doanh rất tích cực. Tỷ lệ Risk/Reward đạt 2.8, phù hợp để giải ngân trong vùng giá hiện tại.",,0
SSB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.72,65.188,64.28300000000002,64.82600000000001,95.0,38.0,56.93,67.02000000000001,60.0,0.0,16000.0,15840.0,16160.0,15425.425,17764.018816666667,18829.859945666667,15099.415994166666,0.10610264362139854,3.0701280366647774,0.19942018121239952,0.3643055501881087,0.4362742685994918,9375,150000000.0,pullback,SSB đang trong nhịp điều chỉnh về MA20 với điểm số kỹ thuật tốt (95.0) và định giá P/B hấp dẫn (1.08). Tỷ lệ Risk/Reward đạt 3.07 rất khả quan cho vị thế mua thăm dò.,"Heuristic decision from composite=64.8, R/R=3.07, expected_return=10.61%, setup=PULLBACK_TO_MA20.",SSB đang trong nhịp điều chỉnh về MA20 với điểm số kỹ thuật tốt (95.0) và định giá P/B hấp dẫn (1.08). Tỷ lệ Risk/Reward đạt 3.07 rất khả quan cho vị thế mua thăm dò.,,0
MSB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.68,65.16,63.589999999999996,64.532,95.0,42.0,56.3,65.0,55.0,0.0,16350.000000000002,16186.5,16513.5,15749.93,16679.65,17850.18,14177.7,0.020868165641733327,0.5493520157773407,0.20082100721439466,0.3600733932473127,0.43910559953829265,9174,150000000.0,pullback,"MSB đang trong nhịp điều chỉnh kỹ thuật về MA20 với định giá P/B hấp dẫn (1.16) và xu hướng tăng trung hạn mạnh mẽ. Dòng tiền ngoại đang mua ròng tích cực, hỗ trợ cho kịch bản hồi phục.","Heuristic decision from composite=64.5, R/R=0.55, expected_return=2.09%, setup=PULLBACK_TO_MA20.","MSB đang trong nhịp điều chỉnh kỹ thuật về MA20 với định giá P/B hấp dẫn (1.16) và xu hướng tăng trung hạn mạnh mẽ. Dòng tiền ngoại đang mua ròng tích cực, hỗ trợ cho kịch bản hồi phục.",,0
FOX,technology,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.65,61.8292,65.5584,63.32088,58.0,58.0,75.0,78.292,50.0,0.0,67000.0,66330.0,67670.0,65660.0,77165.368,81795.29,63518.107,0.13832749115304033,7.586095522388061,0.2066913139949429,0.377892580963469,0.4154161050415881,2238,150000000.0,staged_accumulation,"FOX có định giá hấp dẫn (P/E 12.67, ROE 31.87) và chỉ số RSI quá bán (19.97) cho thấy tiềm năng hồi phục kỹ thuật mạnh mẽ. Tỷ lệ rủi ro/lợi nhuận 7.58 rất tốt.","Heuristic decision from composite=63.3, R/R=7.59, expected_return=13.83%, setup=NO_CLEAR_SETUP.","FOX có định giá hấp dẫn (P/E 12.67, ROE 31.87) và chỉ số RSI quá bán (19.97) cho thấy tiềm năng hồi phục kỹ thuật mạnh mẽ. Tỷ lệ rủi ro/lợi nhuận 7.58 rất tốt.",,0
SHB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.65,61.7,63.342499999999994,62.357,50.0,74.0,63.575,76.85,65.0,0.0,12700.0,12573.0,12827.0,12446.0,24786.22,26273.4,12172.76,0.7889521855165915,47.58356250000001,0.21147011551607614,0.38451564484036344,0.4040142396435604,11811,150000000.0,staged_accumulation,"SHB có định giá rất hấp dẫn (P/B 0.81, P/E 4.48) và dòng tiền ngoại bắt đầu quay lại mua ròng trong 5 phiên gần nhất. RSI ở vùng quá bán (29.8) cho thấy tiềm năng hồi phục kỹ thuật cao.","Heuristic decision from composite=62.4, R/R=47.58, expected_return=78.90%, setup=NO_CLEAR_SETUP.","SHB có định giá rất hấp dẫn (P/B 0.81, P/E 4.48) và dòng tiền ngoại bắt đầu quay lại mua ròng trong 5 phiên gần nhất. RSI ở vùng quá bán (29.8) cho thấy tiềm năng hồi phục kỹ thuật cao.",,0
NAB,bank,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.68,63.0,61.300000000000004,62.32,87.0,48.0,50.0,68.0,55.0,0.0,13050.0,12919.5,13180.5,12658.5,14222.96,15076.34,12089.52,0.08259053923548443,2.9960758620689663,0.21165531435984952,0.37071288669599556,0.4176317989441549,11494,150000000.0,pullback,NAB đang trong nhịp điều chỉnh về MA20 với định giá P/B hấp dẫn (0.9) và P/E thấp (4.6). Tỷ lệ Risk/Reward đạt 2.99 cho thấy tiềm năng tăng trưởng tốt trong trung hạn.,"Heuristic decision from composite=62.3, R/R=3.00, expected_return=8.26%, setup=PULLBACK_TO_MA20.",NAB đang trong nhịp điều chỉnh về MA20 với định giá P/B hấp dẫn (0.9) và P/E thấp (4.6). Tỷ lệ Risk/Reward đạt 2.99 cho thấy tiềm năng tăng trưởng tốt trong trung hạn.,,0
VGI,technology,BUY_CANDIDATE,0,llm,project_gemini,HOLD_MONITOR,BUY_CANDIDATE,success,False,0.65,58.394,61.688,59.711600000000004,58.0,48.0,75.0,63.94,50.0,0.0,81700.0,80883.0,82517.0,80066.0,94970.77,100669.02,76875.92,0.1391757676243992,8.121647490820063,0.2249948506172699,0.39398686856570797,0.38101828081702216,1835,149924500.0,pullback,"VGI đang ở vùng quá bán (RSI 28.25) với tỷ lệ rủi ro/lợi nhuận hấp dẫn (8.12). Mặc dù dòng tiền ngoại và tự doanh đang rút, nhưng định giá cơ bản (ROE 28.66%) vẫn hỗ trợ cho một nhịp hồi phục kỹ thuật.","Heuristic decision from composite=59.7, R/R=8.12, expected_return=13.92%, setup=NO_CLEAR_SETUP.","VGI đang ở vùng quá bán (RSI 28.25) với tỷ lệ rủi ro/lợi nhuận hấp dẫn (8.12). Mặc dù dòng tiền ngoại và tự doanh đang rút, nhưng định giá cơ bản (ROE 28.66%) vẫn hỗ trợ cho một nhịp hồi phục kỹ thuật.",,1
