symbol,sector,action,action_rank,decision_source,decision_engine,heuristic_action,llm_action,llm_status,decision_agreement,confidence,score_3m,score_1y,composite,technical_score,flow_score,fundamental_quality_score,valuation_score,insight_score,risk_penalty,current_price,entry_price_low,entry_price_high,stop_loss,base_target,bull_target,bear_target,expected_return,risk_reward,prob_bear,prob_base,prob_bull,suggested_quantity,suggested_position_value,buy_strategy,reason,heuristic_reason,llm_reason,llm_error,errors_count
HDB,bank,WATCHLIST,1,heuristic,heuristic,WATCHLIST,WATCHLIST,not_called,True,0.73088,73.632,72.27199999999999,73.088,100.0,54.0,72.92,67.48,65.0,0.0,27150.0,26878.5,27421.5,26130.463565754395,35012.08373333334,37329.04338647041,26017.181739727108,0.2761564732966282,7.711429890341098,0.16465434473669038,0.3534148590639675,0.4819307961993421,5524,149976600.0,PULLBACK_TO_MA20,"Heuristic decision from composite=73.1, R/R=7.71, expected_return=27.62%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=73.1, R/R=7.71, expected_return=27.62%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=73.1, R/R=7.71, expected_return=27.62%, setup=PULLBACK_TO_MA20.",,0
LPB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6753500000000001,69.09200000000001,65.1995,67.53500000000001,87.0,68.0,72.845,43.230000000000004,55.0,0.0,51500.0,50985.0,52015.0,50470.0,34818.997899999995,60515.865114126034,29596.148214999994,-0.10722775886771752,-16.19514766990292,0.18700166188168113,0.3407441139732573,0.4722542241450616,2912,149968000.0,wait,"Heuristic decision from composite=67.5, R/R=-16.20, expected_return=-10.72%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=67.5, R/R=-16.20, expected_return=-10.72%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=67.5, R/R=-16.20, expected_return=-10.72%, setup=PULLBACK_TO_MA20.",,0
KLB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.67511,66.42399999999999,69.14150000000001,67.511,79.0,48.0,72.065,82.11000000000001,55.0,0.0,12400.0,12276.0,12524.0,12128.395,31316.280274999997,33195.257091499996,11582.016404304051,1.2957226782695597,69.64628882016173,0.18710759261490745,0.3641846143925817,0.44870779299251085,12096,149990400.0,wait,"Heuristic decision from composite=67.5, R/R=69.65, expected_return=129.57%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=67.5, R/R=69.65, expected_return=129.57%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=67.5, R/R=69.65, expected_return=129.57%, setup=PULLBACK_TO_MA20.",,0
ACB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6652,66.324,66.814,66.52,100.0,24.0,61.339999999999996,67.56,75.0,0.0,23750.0,23512.5,23987.5,22831.49825265975,28132.246766666663,29820.181572666665,22729.442502955277,0.17209737423599125,4.771081578621425,0.19154725137119005,0.3700719680333134,0.43838078059549657,6315,149981250.0,wait,"Heuristic decision from composite=66.5, R/R=4.77, expected_return=17.21%, setup=BREAKOUT_55D.","Heuristic decision from composite=66.5, R/R=4.77, expected_return=17.21%, setup=BREAKOUT_55D.","Heuristic decision from composite=66.5, R/R=4.77, expected_return=17.21%, setup=BREAKOUT_55D.",,0
STB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.66318,69.356,61.761,66.318,100.0,68.0,50.51,41.53999999999999,65.0,0.0,71800.0,71082.0,72518.0,69495.65,28098.82075,80707.77175080785,23883.997637499997,-0.27717276166097204,-18.964644802221837,0.19246763759594898,0.33971478494062723,0.4678175774634238,2089,149990200.0,wait,"Heuristic decision from composite=66.3, R/R=-18.96, expected_return=-27.72%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=66.3, R/R=-18.96, expected_return=-27.72%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=66.3, R/R=-18.96, expected_return=-27.72%, setup=PULLBACK_TO_MA20.",,0
ABB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.66149,66.69200000000001,65.33449999999999,66.149,92.0,50.0,62.495,65.93,50.0,0.0,17700.0,17523.0,17877.0,16745.940838828337,19572.208824999998,20746.541354499997,16636.377501249997,0.10384549309196411,1.962361351575695,0.19324159003704455,0.35272933181351873,0.4540290781494367,7861,139139700.0,wait,"Heuristic decision from composite=66.1, R/R=1.96, expected_return=10.38%, setup=UPTREND_CONTINUATION.","Heuristic decision from composite=66.1, R/R=1.96, expected_return=10.38%, setup=UPTREND_CONTINUATION.","Heuristic decision from composite=66.1, R/R=1.96, expected_return=10.38%, setup=UPTREND_CONTINUATION.",,0
MSB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.64532,65.16,63.589999999999996,64.532,95.0,42.0,56.3,65.0,55.0,0.0,16350.000000000002,16186.500000000002,16513.500000000004,15749.926961464103,16679.65133333333,17850.18259633975,14177.70363333333,0.020868165641733327,0.5493520157773407,0.20082100721439466,0.3600733932473127,0.43910559953829265,9174,149994900.00000003,wait,"Heuristic decision from composite=64.5, R/R=0.55, expected_return=2.09%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=64.5, R/R=0.55, expected_return=2.09%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=64.5, R/R=0.55, expected_return=2.09%, setup=PULLBACK_TO_MA20.",,0
FOX,technology,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6332088,61.8292,65.5584,63.32088,58.0,58.0,75.0,78.292,50.0,0.0,66700.0,66033.0,67367.0,65366.0,77165.368,81795.29008,63273.34609720318,0.14268893457247445,7.8451034482758635,0.2066913139949429,0.377892580963469,0.4154161050415881,2248,149941600.0,wait,"Heuristic decision from composite=63.3, R/R=7.85, expected_return=14.27%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=63.3, R/R=7.85, expected_return=14.27%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=63.3, R/R=7.85, expected_return=14.27%, setup=NO_CLEAR_SETUP.",,0
SSB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6274599999999999,62.788,62.68300000000001,62.745999999999995,87.0,38.0,56.93,67.02000000000001,60.0,0.0,15800.0,15642.0,15958.0,15369.65,17764.018816666667,18829.859945666667,15002.63646611651,0.11562863592962103,4.563770922892216,0.20953073040185688,0.3762348402464146,0.4142344293517285,9493,149989400.0,wait,"Heuristic decision from composite=62.7, R/R=4.56, expected_return=11.56%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=62.7, R/R=4.56, expected_return=11.56%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=62.7, R/R=4.56, expected_return=11.56%, setup=PULLBACK_TO_MA20.",,0
SHB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.62357,61.7,63.342499999999994,62.357,50.0,74.0,63.575,76.85,65.0,0.0,12700.0,12573.0,12827.0,12446.0,24786.224875000004,26273.398367500005,12172.75757622717,0.7889521855165915,47.58356250000001,0.21147011551607614,0.38451564484036344,0.4040142396435604,11811,149999700.0,wait,"Heuristic decision from composite=62.4, R/R=47.58, expected_return=78.90%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=62.4, R/R=47.58, expected_return=78.90%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=62.4, R/R=47.58, expected_return=78.90%, setup=NO_CLEAR_SETUP.",,0
